# X, Y, VelX, VelY |[221.;103.;  0.;  0.][238. ;229. ; 18. ; 18.5]
0.48739,0.10480,0.22222,-0.05405
0.50420,0.10044,0.33333,0.00000
0.52941,0.10044,0.33333,0.05405
0.55462,0.10480,0.50000,0.10811
0.59244,0.11354,0.50000,0.21622
0.63025,0.13100,0.50000,0.21622
0.66807,0.14847,0.44444,0.32432
0.70168,0.17467,0.50000,0.37838
0.73950,0.20524,0.44444,0.43243
0.77311,0.24017,0.38889,0.54054
0.80252,0.28384,0.33333,0.54054
0.82773,0.32751,0.27778,0.59459
0.84874,0.37555,0.16667,0.59459
0.86134,0.42358,0.16667,0.64865
0.87395,0.47598,0.00000,0.64865
0.87395,0.52838,0.00000,0.59459
0.87395,0.57642,0.00000,0.64865
0.87395,0.62882,-0.11111,0.64865
0.86555,0.68122,-0.16667,0.64865
0.85294,0.73362,-0.22222,0.59459
0.83613,0.78166,-0.38889,0.54054
0.80672,0.82533,-0.38889,0.54054
0.77731,0.86900,-0.61111,0.37838
0.73109,0.89956,-0.66667,0.32432
0.68067,0.92576,-0.77778,0.21622
0.62185,0.94323,-0.83333,0.16216
0.55882,0.95633,-0.75000,0.32432
0.50210,0.98253,-0.88889,-0.32432
0.43487,0.95633,-0.97222,0.02703
0.36134,0.95852,-0.77778,-0.48649
0.30252,0.91921,-0.86111,-0.45946
0.23739,0.88210,-0.80556,-0.48649
0.17647,0.84279,-0.55556,-0.59459
0.13445,0.79476,-0.44444,-0.70270
0.10084,0.73799,-0.27778,-0.70270
0.07983,0.68122,-0.22222,-0.75676
0.06303,0.62009,-0.16667,-0.75676
0.05042,0.55895,-0.05556,-0.75676
0.04622,0.49782,0.05556,-0.70270
0.05042,0.44105,0.05556,-0.75676
0.05462,0.37991,0.16667,-0.70270
0.06723,0.32314,0.27778,-0.59459
0.08824,0.27511,0.38889,-0.59459
0.11765,0.22707,0.33333,-0.54054
0.14286,0.18341,0.55556,-0.48649
0.18487,0.14410,0.55556,-0.32432
0.22689,0.11790,0.61111,-0.32432
0.27311,0.09170,0.61111,-0.21622
0.31933,0.07424,0.66667,-0.10811
0.36975,0.06550,0.72222,-0.05405
0.42437,0.06114,0.66667,0.00000
0.47479,0.06114,0.72222,0.10811
0.52941,0.06987,0.58333,0.16216
0.57353,0.08297,0.66667,0.29730
0.62395,0.10699,0.75000,0.24324
0.68067,0.12664,0.61111,0.32432
0.72689,0.15284,0.55556,0.43243
0.76891,0.18777,0.55556,0.48649
0.81092,0.22707,0.44444,0.54054
0.84454,0.27074,0.50000,0.59459
0.88235,0.31878,0.16667,0.54054
0.89496,0.36245,0.22222,0.64865
0.91176,0.41485,0.05556,0.59459
0.91597,0.46288,0.05556,0.54054
0.92017,0.50655,-0.05556,0.54054
0.91597,0.55022,-0.05556,0.54054
0.91176,0.59389,-0.16667,0.54054
0.89916,0.63755,-0.27778,0.43243
0.87815,0.67249,-0.33333,0.43243
0.85294,0.70742,-0.38889,0.37838
0.82353,0.73799,-0.44444,0.43243
0.78992,0.77293,-0.50000,0.37838
0.75210,0.80349,-0.44444,0.43243
0.71849,0.83843,-0.55556,0.32432
0.67647,0.86463,-0.61111,0.37838
0.63025,0.89520,-0.66667,0.27027
0.57983,0.91703,-0.61111,0.27027
0.53361,0.93886,-0.94444,-0.05405
0.46218,0.93450,-0.63889,-0.16216
0.41387,0.92140,-0.80556,-0.10811
0.35294,0.91266,-0.86111,0.00000
0.28782,0.91266,-0.86111,-0.51351
0.22269,0.87118,-0.47222,-0.83784
0.18697,0.80349,-0.58333,-0.64865
0.14286,0.75109,-0.38889,-0.70270
0.11345,0.69432,-0.27778,-0.70270
0.09244,0.63755,-0.16667,-0.75676
0.07983,0.57642,-0.05556,-0.64865
0.07563,0.52402,0.00000,-0.70270
0.07563,0.46725,0.11111,-0.59459
0.08403,0.41921,0.00000,-0.56757
0.08403,0.37336,0.25000,-0.48649
0.10294,0.33406,0.50000,-0.64865
0.14076,0.28166,0.36111,-0.51351
0.16807,0.24017,0.38889,-0.43243
0.19748,0.20524,0.44444,-0.37838
0.23109,0.17467,0.50000,-0.32432
0.26891,0.14847,0.50000,-0.21622
0.30672,0.13100,0.61111,-0.10811
0.35294,0.12227,0.55556,-0.05405
0.39496,0.11790,0.61111,0.00000
0.44118,0.11790,0.55556,0.05405
0.48319,0.12227,0.61111,0.05405
0.52941,0.12664,0.55556,0.16216
0.57143,0.13974,0.55556,0.16216
0.61345,0.15284,0.61111,0.27027
0.65966,0.17467,0.55556,0.32432
0.70168,0.20087,0.52778,0.43243
0.74160,0.23581,0.61111,0.54054
0.78782,0.27948,0.41667,0.43243
0.81933,0.31441,0.33333,0.59459
0.84454,0.36245,0.27778,0.59459
0.86555,0.41048,0.27778,0.64865
0.88655,0.46288,0.11111,0.59459
0.89496,0.51092,0.11111,0.59459
0.90336,0.55895,0.00000,0.54054
0.90336,0.60262,-0.11111,0.59459
0.89496,0.65066,-0.11111,0.54054
0.88655,0.69432,-0.16667,0.54054
0.87395,0.73799,-0.27778,0.48649
0.85294,0.77729,-0.33333,0.43243
0.82773,0.81223,-0.44444,0.43243
0.79412,0.84716,-0.50000,0.43243
0.75630,0.88210,-0.55556,0.37838
0.71429,0.91266,-0.66667,0.37838
0.66387,0.94323,-0.72222,0.27027
0.60924,0.96507,-0.72222,0.21622
0.55462,0.98253,-0.83333,-0.02703
0.49160,0.98035,-0.94444,0.16216
0.42017,0.99345,-0.86111,-0.21622
0.35504,0.97598,-0.72222,-0.13514
0.30042,0.96507,-0.75000,-0.43243
0.24370,0.93013,-0.66667,-0.91892
0.19328,0.85590,-0.44444,-0.70270
0.15966,0.79913,-0.38889,-0.81081
0.13025,0.73362,-0.27778,-0.81081
0.10924,0.66812,-0.16667,-0.81081
0.09664,0.60262,-0.11111,-0.75676
0.08824,0.54148,-0.05556,-0.81081
0.08403,0.47598,0.11111,-0.75676
0.09244,0.41485,0.16667,-0.64865
0.10504,0.36245,0.22222,-0.64865
0.12185,0.31004,0.27778,-0.59459
0.14286,0.26201,0.38889,-0.54054
0.17227,0.21834,0.38889,-0.48649
0.20168,0.17904,0.44444,-0.43243
0.23529,0.14410,0.55556,-0.32432
0.27731,0.11790,0.50000,-0.32432
0.31513,0.09170,0.66667,-0.16216
0.36555,0.07860,0.61111,-0.16216
0.41176,0.06550,0.66667,-0.05405
0.46218,0.06114,0.66667,0.05405
0.51261,0.06550,0.66667,0.10811
0.56303,0.07424,0.66667,0.21622
0.61345,0.09170,0.55556,0.27027
0.65546,0.11354,0.61111,0.27027
0.70168,0.13537,0.52778,0.37838
0.74160,0.16594,0.58333,0.43243
0.78571,0.20087,0.55556,0.54054
0.82773,0.24454,0.44444,0.59459
0.86134,0.29258,0.38889,0.64865
0.89076,0.34498,0.27778,0.64865
0.91176,0.39738,0.16667,0.64865
0.92437,0.44978,0.11111,0.64865
0.93277,0.50218,0.00000,0.64865
0.93277,0.55459,-0.05556,0.64865
0.92857,0.60699,-0.11111,0.54054
0.92017,0.65066,-0.22222,0.54054
0.90336,0.69432,-0.22222,0.54054
0.88655,0.73799,-0.33333,0.48649
0.86134,0.77729,-0.33333,0.48649
0.83613,0.81659,-0.44444,0.43243
0.80252,0.85153,-0.50000,0.37838
0.76471,0.88210,-0.55556,0.27027
0.72269,0.90393,-0.66667,0.27027
0.67227,0.92576,-0.77778,0.10811
0.61345,0.93450,-0.77778,0.05405
0.55462,0.93886,-0.83333,-0.05405
0.49160,0.93450,-0.75000,-0.10811
0.43487,0.92576,-0.83333,-0.24324
0.37185,0.90611,-0.86111,-0.35135
0.30672,0.87773,-0.83333,-0.43243
0.24370,0.84279,-0.66667,-0.54054
0.19328,0.79913,-0.55556,-0.59459
0.15126,0.75109,-0.38889,-0.64865
0.12185,0.69869,-0.33333,-0.75676
0.09664,0.63755,-0.16667,-0.70270
0.08403,0.58079,-0.05556,-0.75676
0.07983,0.51965,0.05556,-0.70270
0.08403,0.46288,0.11111,-0.75676
0.09244,0.40175,0.16667,-0.70270
0.10504,0.34498,0.30556,-0.70270
0.12815,0.28821,0.25000,-0.59459
0.14706,0.24017,0.38889,-0.54054
0.17647,0.19651,0.44444,-0.48649
0.21008,0.15721,0.50000,-0.43243
0.24790,0.12227,0.55556,-0.32432
0.28992,0.09607,0.55556,-0.32432
0.33193,0.06987,0.61111,-0.16216
0.37815,0.05677,0.61111,-0.16216
0.42437,0.04367,0.55556,-0.05405
0.46639,0.03930,0.61111,0.00000
0.51261,0.03930,0.61111,0.10811
0.55882,0.04803,0.55556,0.21622
0.60084,0.06550,0.55556,0.21622
0.64286,0.08297,0.50000,0.32432
0.68067,0.10917,0.55556,0.43243
0.72269,0.14410,0.44444,0.43243
0.75630,0.17904,0.38889,0.48649
0.78571,0.21834,0.33333,0.59459
0.81092,0.26638,0.33333,0.59459
0.83613,0.31441,0.27778,0.70270
0.85714,0.37118,0.22222,0.64865
0.87395,0.42358,0.11111,0.64865
0.88235,0.47598,0.11111,0.64865
0.89076,0.52838,0.05556,0.64865
0.89496,0.58079,-0.05556,0.54054
0.89076,0.62445,-0.11111,0.54054
0.88235,0.66812,-0.22222,0.43243
0.86555,0.70306,-0.27778,0.32432
0.84454,0.72926,-0.33333,0.32432
0.81933,0.75546,-0.38889,0.32432
0.78992,0.78166,-0.44444,0.32432
0.75630,0.80786,-0.50000,0.27027
0.71849,0.82969,-0.50000,0.27027
0.68067,0.85153,-0.55556,0.27027
0.63866,0.87336,-0.66667,0.16216
0.58824,0.88646,-0.72222,0.16216
0.53361,0.89956,-0.72222,0.05405
0.47899,0.90393,-0.77778,-0.05405
0.42017,0.89956,-0.66667,-0.05405
0.36975,0.89520,-0.77778,-0.16216
0.31092,0.88210,-0.69444,-0.24324
0.25840,0.86245,-0.86111,-0.45946
0.19328,0.82533,-0.61111,-0.54054
0.14706,0.78166,-0.50000,-0.64865
0.10924,0.72926,-0.38889,-0.70270
0.07983,0.67249,-0.33333,-0.81081
0.05462,0.60699,-0.11111,-0.75676
0.04622,0.54585,-0.11111,-0.81081
0.03782,0.48035,0.11111,-0.81081
0.04622,0.41485,0.11111,-0.70270
0.05462,0.35808,0.16667,-0.70270
0.06723,0.30131,0.27778,-0.59459
0.08824,0.25328,0.33333,-0.54054
0.11345,0.20961,0.33333,-0.43243
0.13866,0.17467,0.44444,-0.43243
0.17227,0.13974,0.44444,-0.32432
0.20588,0.11354,0.55556,-0.27027
0.24790,0.09170,0.55556,-0.16216
0.28992,0.07860,0.61111,-0.16216
0.33613,0.06550,0.61111,-0.05405
0.38235,0.06114,0.61111,0.00000
0.42857,0.06114,0.61111,0.05405
0.47479,0.06550,0.61111,0.05405
0.52101,0.06987,0.61111,0.16216
0.56723,0.08297,0.55556,0.16216
0.60924,0.09607,0.55556,0.27027
0.65126,0.11790,0.55556,0.32432
0.69328,0.14410,0.50000,0.32432
0.73109,0.17031,0.44444,0.43243
0.76471,0.20524,0.38889,0.43243
0.79412,0.24017,0.38889,0.48649
0.82353,0.27948,0.33333,0.48649
0.84874,0.31878,0.22222,0.54054
0.86555,0.36245,0.22222,0.59459
0.88235,0.41048,0.05556,0.54054
0.88655,0.45415,0.11111,0.54054
0.89496,0.49782,-0.05556,0.54054
0.89076,0.54148,-0.05556,0.59459
0.88655,0.58952,-0.11111,0.59459
0.87815,0.63755,-0.22222,0.59459
0.86134,0.68559,-0.27778,0.59459
0.84034,0.73362,-0.27778,0.54054
0.81933,0.77729,-0.38889,0.54054
0.78992,0.82096,-0.50000,0.43243
0.75210,0.85590,-0.55556,0.32432
0.71008,0.88210,-0.66667,0.16216
0.65966,0.89520,-0.83333,0.16216
0.59664,0.90830,-0.77778,0.05405
0.53782,0.91266,-0.83333,-0.05405
0.47479,0.90830,-0.66667,-0.18919
0.42437,0.89301,-0.83333,-0.13514
0.36134,0.88210,-0.80556,-0.18919
0.30042,0.86681,-0.77778,-0.45946
0.24160,0.82969,-0.44444,-0.62162
0.20798,0.77948,-0.69444,-0.62162
0.15546,0.72926,-0.41667,-0.62162
0.12395,0.67904,-0.47222,-0.59459
0.08824,0.63100,-0.11111,-0.83784
0.07983,0.56332,-0.11111,-0.75676
0.07143,0.50218,0.00000,-0.70270
0.07143,0.44541,0.00000,-0.70270
0.07143,0.38865,0.16667,-0.75676
0.08403,0.32751,0.22222,-0.59459
0.10084,0.27948,0.33333,-0.59459
0.12605,0.23144,0.33333,-0.54054
0.15126,0.18777,0.44444,-0.43243
0.18487,0.15284,0.44444,-0.37838
0.21849,0.12227,0.50000,-0.32432
0.25630,0.09607,0.50000,-0.21622
0.29412,0.07860,0.61111,-0.16216
0.34034,0.06550,0.61111,-0.05405
0.38655,0.06114,0.61111,-0.05405
0.43277,0.05677,0.61111,0.00000
0.47899,0.05677,0.61111,0.05405
0.52521,0.06114,0.55556,0.10811
0.56723,0.06987,0.55556,0.05405
0.60924,0.07424,0.55556,0.21622
0.65126,0.09170,0.50000,0.21622
0.68908,0.10917,0.44444,0.27027
0.72269,0.13100,0.50000,0.37838
0.76050,0.16157,0.44444,0.48649
0.79412,0.20087,0.38889,0.54054
0.82353,0.24454,0.33333,0.64865
0.84874,0.29694,0.27778,0.64865
0.86975,0.34934,0.27778,0.75676
0.89076,0.41048,0.22222,0.75676
0.90756,0.47162,0.11111,0.64865
0.91597,0.52402,0.00000,0.64865
0.91597,0.57642,-0.05556,0.64865
0.91176,0.62882,-0.16667,0.48649
0.89916,0.66812,-0.27778,0.48649
0.87815,0.70742,-0.38889,0.43243
0.84874,0.74236,-0.44444,0.37838
0.81513,0.77293,-0.55556,0.37838
0.77311,0.80349,-0.61111,0.37838
0.72689,0.83406,-0.66667,0.32432
0.67647,0.86026,-0.77778,0.27027
0.61765,0.88210,-0.77778,0.27027
0.55882,0.90393,-0.88889,0.10811
0.49160,0.91266,-0.94444,0.05405
0.42017,0.91703,-0.88889,-0.10811
0.35294,0.90830,-0.80556,-0.29730
0.29202,0.88428,-1.00000,-0.40541
0.21639,0.85153,-0.72222,-0.67568
0.16176,0.79694,-0.61111,-0.75676
0.11555,0.73581,-0.69444,-0.72973
0.06303,0.67686,-0.19444,-0.83784
0.04832,0.60917,-0.41667,-0.83784
0.01681,0.54148,-0.11111,-0.86486
0.00840,0.47162,-0.11111,-0.75676
0.00000,0.41048,0.16667,-0.81081
0.01261,0.34498,0.16667,-0.75676
0.02521,0.28384,0.30556,-0.64865
0.04832,0.23144,0.41667,-0.64865
0.07983,0.17904,0.44444,-0.54054
0.11345,0.13537,0.50000,-0.43243
0.15126,0.10044,0.50000,-0.43243
0.18908,0.06550,0.61111,-0.27027
0.23529,0.04367,0.55556,-0.27027
0.27731,0.02183,0.61111,-0.16216
0.32353,0.00873,0.66667,-0.10811
0.37395,0.00000,0.66667,0.00000
0.42437,0.00000,0.61111,0.05405
0.47059,0.00437,0.66667,0.05405
0.52101,0.00873,0.61111,0.16216
0.56723,0.02183,0.61111,0.21622
0.61345,0.03930,0.55556,0.29730
0.65546,0.06332,0.55556,0.24324
0.69748,0.08297,0.55556,0.32432
0.73950,0.10917,0.44444,0.43243
0.77311,0.14410,0.44444,0.43243
0.80672,0.17904,0.38889,0.48649
0.83613,0.21834,0.33333,0.54054
0.86134,0.26201,0.33333,0.54054
0.88655,0.30568,0.22222,0.54054
0.90336,0.34934,0.11111,0.59459
0.91176,0.39738,0.11111,0.54054
0.92017,0.44105,0.00000,0.59459
0.92017,0.48908,-0.05556,0.54054
0.91597,0.53275,-0.16667,0.59459
0.90336,0.58079,-0.16667,0.54054
0.89076,0.62445,-0.22222,0.54054
0.87395,0.66812,-0.27778,0.48649
0.85294,0.70742,-0.33333,0.48649
0.82773,0.74672,-0.44444,0.43243
0.79412,0.78166,-0.44444,0.43243
0.76050,0.81659,-0.50000,0.43243
0.72269,0.85153,-0.61111,0.37838
0.67647,0.88210,-0.66667,0.27027
0.62605,0.90393,-0.66667,0.21622
0.57563,0.92140,-0.77778,0.10811
0.51681,0.93013,-0.69444,0.08108
0.46429,0.93668,-0.77778,0.08108
0.40546,0.94323,-0.86111,-0.27027
0.34034,0.92140,-0.83333,-0.27027
0.27731,0.89956,-0.75000,-0.32432
0.22059,0.87336,-0.83333,-0.56757
0.15756,0.82751,-0.41667,-0.72973
0.12605,0.76856,-0.38889,-0.81081
0.09664,0.70306,-0.27778,-0.81081
0.07563,0.63755,-0.16667,-0.86486
0.06303,0.56769,0.00000,-0.86486
0.06303,0.49782,0.11111,-0.81081
0.07143,0.43231,0.11111,-0.75676
0.07983,0.37118,0.16667,-0.75676
0.09244,0.31004,0.22222,-0.64865
0.10924,0.25764,0.38889,-0.59459
0.13866,0.20961,0.38889,-0.48649
0.16807,0.17031,0.44444,-0.43243
0.20168,0.13537,0.44444,-0.37838
0.23529,0.10480,0.55556,-0.27027
0.27731,0.08297,0.55556,-0.16216
0.31933,0.06987,0.61111,-0.16216
0.36555,0.05677,0.61111,-0.05405
0.41176,0.05240,0.61111,0.05405
0.45798,0.05677,0.66667,0.05405
0.50840,0.06114,0.63889,0.16216
0.55672,0.07424,0.63889,0.16216
0.60504,0.08734,0.66667,0.21622
0.65546,0.10480,0.66667,0.32432
0.70588,0.13100,0.55556,0.37838
0.74790,0.16157,0.55556,0.37838
0.78992,0.19214,0.55556,0.48649
0.83193,0.23144,0.38889,0.54054
0.86134,0.27511,0.38889,0.59459
0.89076,0.32314,0.27778,0.70270
0.91176,0.37991,0.22222,0.64865
0.92857,0.43231,0.11111,0.75676
0.93697,0.49345,0.05556,0.75676
0.94118,0.55459,-0.05556,0.75676
0.93697,0.61572,-0.11111,0.70270
0.92857,0.67249,-0.16667,0.59459
0.91597,0.72052,-0.33333,0.54054
0.89076,0.76419,-0.38889,0.37838
0.86134,0.79476,-0.44444,0.32432
0.82773,0.82096,-0.55556,0.27027
0.78571,0.84279,-0.66667,0.16216
0.73529,0.85590,-0.66667,0.10811
0.68487,0.86463,-0.77778,0.05405
0.62605,0.86900,-0.77778,-0.05405
0.56723,0.86463,-0.83333,-0.10811
0.50420,0.85590,-0.77778,-0.16216
0.44538,0.84279,-0.72222,-0.32432
0.39076,0.81659,-0.72222,-0.29730
0.33613,0.79258,-0.69444,-0.54054
0.28361,0.74891,-0.52778,-0.67568
0.24370,0.69432,-0.44444,-0.70270
0.21008,0.63755,-0.27778,-0.70270
0.18908,0.58079,-0.16667,-0.75676
0.17647,0.51965,-0.11111,-0.75676
0.16807,0.45852,0.00000,-0.81081
0.16807,0.39301,0.11111,-0.75676
0.17647,0.33188,0.22222,-0.70270
0.19328,0.27511,0.22222,-0.64865
0.21008,0.22271,0.33333,-0.54054
0.23529,0.17904,0.38889,-0.48649
0.26471,0.13974,0.44444,-0.37838
0.29832,0.10917,0.50000,-0.32432
0.33613,0.08297,0.50000,-0.27027
0.37395,0.06114,0.50000,-0.16216
0.41176,0.04803,0.55556,-0.05405
0.45378,0.04367,0.55556,0.00000
0.49580,0.04367,0.61111,0.05405
0.54202,0.04803,0.55556,0.10811
0.58403,0.05677,0.52778,0.21622
0.62395,0.07424,0.50000,0.29730
0.66176,0.09825,0.61111,0.29730
0.70798,0.12227,0.41667,0.27027
0.73950,0.14410,0.44444,0.37838
0.77311,0.17467,0.38889,0.43243
0.80252,0.20961,0.33333,0.43243
0.82773,0.24454,0.22222,0.48649
0.84454,0.28384,0.22222,0.48649
0.86134,0.32314,0.16667,0.59459
0.87395,0.37118,0.11111,0.54054
0.88235,0.41485,0.05556,0.64865
0.88655,0.46725,0.00000,0.54054
0.88655,0.51092,-0.11111,0.54054
0.87815,0.55459,-0.11111,0.59459
0.86975,0.60262,-0.22222,0.48649
0.85294,0.64192,-0.33333,0.48649
0.82773,0.68122,-0.33333,0.48649
0.80252,0.72052,-0.50000,0.48649
0.76471,0.75983,-0.50000,0.43243
0.72689,0.79476,-0.55556,0.37838
0.68487,0.82533,-0.61111,0.37838
0.63866,0.85590,-0.72222,0.32432
0.58403,0.88210,-0.77778,0.21622
0.52521,0.89956,-0.69444,0.10811
0.47269,0.90830,-0.88889,0.13514
0.40546,0.91921,-0.80556,-0.45946
0.34454,0.88210,-0.72222,-0.40541
0.28992,0.84934,-0.94444,-0.45946
0.21849,0.81223,-0.61111,-0.64865
0.17227,0.75983,-0.55556,-0.67568
0.13025,0.70524,-0.27778,-0.83784
0.10924,0.63755,-0.16667,-0.81081
0.09664,0.57205,-0.11111,-0.81081
0.08824,0.50655,0.05556,-0.81081
