# X, Y, VelX, VelY |[212.; 34.;  0.;  0.][198.;322.; 22.; 20.]
0.43434,0.18634,0.00000,-0.10000
0.43434,0.18012,0.00000,-0.10000
0.43434,0.17391,0.09091,-0.10000
0.44444,0.16770,0.18182,-0.20000
0.46465,0.15528,0.27273,-0.30000
0.49495,0.13665,0.54545,-0.20000
0.55556,0.12422,0.54545,-0.20000
0.61616,0.11180,0.63636,0.00000
0.68687,0.11180,0.54545,0.10000
0.74747,0.11801,0.54545,0.20000
0.80808,0.13043,0.36364,0.30000
0.84848,0.14907,0.36364,0.40000
0.88889,0.17391,0.27273,0.50000
0.91919,0.20497,0.18182,0.60000
0.93939,0.24224,0.00000,0.50000
0.93939,0.27329,-0.18182,0.50000
0.91919,0.30435,-0.18182,0.40000
0.89899,0.32919,-0.18182,0.50000
0.87879,0.36025,-0.45455,0.60000
0.82828,0.39752,-0.36364,0.30000
0.78788,0.41615,-0.63636,0.50000
0.71717,0.44720,-0.63636,0.30000
0.64646,0.46584,-0.54545,0.20000
0.58586,0.47826,-0.63636,0.20000
0.51515,0.49068,-0.72727,0.20000
0.43434,0.50311,-0.54545,0.20000
0.37374,0.51553,-0.54545,0.20000
0.31313,0.52795,-0.63636,0.20000
0.24242,0.54037,-0.45455,0.40000
0.19192,0.56522,-0.45455,0.30000
0.14141,0.58385,-0.36364,0.50000
0.10101,0.61491,-0.27273,0.40000
0.07071,0.63975,-0.18182,0.50000
0.05051,0.67081,0.00000,0.50000
0.05051,0.70186,0.09091,0.40000
0.06061,0.72671,0.09091,0.50000
0.07071,0.75776,0.27273,0.30000
0.10101,0.77640,0.36364,0.30000
0.14141,0.79503,0.36364,0.40000
0.18182,0.81988,0.54545,0.30000
0.24242,0.83851,0.54545,0.30000
0.30303,0.85714,0.72727,0.20000
0.38384,0.86957,0.72727,0.10000
0.46465,0.87578,0.63636,0.10000
0.53535,0.88199,0.81818,-0.10000
0.62626,0.87578,0.72727,-0.20000
0.70707,0.86335,0.63636,-0.30000
0.77778,0.84472,0.54545,-0.40000
0.83838,0.81988,0.54545,-0.50000
0.89899,0.78882,0.45455,-0.70000
0.94949,0.74534,0.27273,-0.70000
0.97980,0.70186,0.00000,-0.70000
0.97980,0.65839,-0.09091,-0.60000
0.96970,0.62112,-0.18182,-0.70000
0.94949,0.57764,-0.27273,-0.50000
0.91919,0.54658,-0.36364,-0.40000
0.87879,0.52174,-0.54545,-0.40000
0.81818,0.49689,-0.45455,-0.30000
0.76768,0.47826,-0.54545,-0.30000
0.70707,0.45963,-0.63636,-0.20000
0.63636,0.44720,-0.54545,-0.40000
0.57576,0.42236,-0.54545,-0.30000
0.51515,0.40373,-0.63636,-0.50000
0.44444,0.37267,-0.45455,-0.50000
0.39394,0.34161,-0.36364,-0.40000
0.35354,0.31677,-0.27273,-0.50000
0.32323,0.28571,-0.27273,-0.70000
0.29293,0.24224,-0.09091,-0.50000
0.28283,0.21118,0.00000,-0.60000
0.28283,0.17391,0.18182,-0.40000
0.30303,0.14907,0.18182,-0.50000
0.32323,0.11801,0.36364,-0.30000
0.36364,0.09938,0.45455,-0.30000
0.41414,0.08075,0.45455,-0.20000
0.46465,0.06832,0.54545,-0.10000
0.52525,0.06211,0.45455,0.00000
0.57576,0.06211,0.54545,0.00000
0.63636,0.06211,0.54545,0.20000
0.69697,0.07453,0.54545,0.20000
0.75758,0.08696,0.45455,0.30000
0.80808,0.10559,0.27273,0.40000
0.83838,0.13043,0.36364,0.50000
0.87879,0.16149,0.18182,0.40000
0.89899,0.18634,0.18182,0.60000
0.91919,0.22360,0.00000,0.40000
0.91919,0.24845,-0.09091,0.40000
0.90909,0.27329,0.00000,0.40000
0.90909,0.29814,-0.36364,0.60000
0.86869,0.33540,-0.18182,0.40000
0.84848,0.36025,-0.36364,0.50000
0.80808,0.39130,-0.54545,0.40000
0.74747,0.41615,-0.45455,0.40000
0.69697,0.44099,-0.54545,0.30000
0.63636,0.45963,-0.54545,0.10000
0.57576,0.46584,-0.63636,0.00000
0.50505,0.46584,-0.63636,0.10000
0.43434,0.47205,-0.45455,0.10000
0.38384,0.47826,-0.63636,0.00000
0.31313,0.47826,-0.54545,0.20000
0.25253,0.49068,-0.54545,0.30000
0.19192,0.50932,-0.54545,0.30000
0.13131,0.52795,-0.27273,0.30000
0.10101,0.54658,-0.27273,0.40000
0.07071,0.57143,-0.18182,0.50000
0.05051,0.60248,0.09091,0.40000
0.06061,0.62733,0.09091,0.60000
0.07071,0.66460,0.27273,0.50000
0.10101,0.69565,0.45455,0.40000
0.15152,0.72050,0.36364,0.50000
0.19192,0.75155,0.45455,0.50000
0.24242,0.78261,0.54545,0.50000
0.30303,0.81366,0.54545,0.40000
0.36364,0.83851,0.63636,0.30000
0.43434,0.85714,0.54545,0.30000
0.49495,0.87578,0.72727,0.10000
0.57576,0.88199,0.63636,0.00000
0.64646,0.88199,0.72727,-0.20000
0.72727,0.86957,0.63636,-0.30000
0.79798,0.85093,0.63636,-0.60000
0.86869,0.81366,0.36364,-0.70000
0.90909,0.77019,0.27273,-0.80000
0.93939,0.72050,0.27273,-0.80000
0.96970,0.67081,0.00000,-0.70000
0.96970,0.62733,-0.09091,-0.70000
0.95960,0.58385,-0.27273,-0.70000
0.92929,0.54037,-0.45455,-0.40000
0.87879,0.51553,-0.36364,-0.40000
0.83838,0.49068,-0.45455,-0.40000
0.78788,0.46584,-0.54545,-0.30000
0.72727,0.44720,-0.54545,-0.40000
0.66667,0.42236,-0.54545,-0.50000
0.60606,0.39130,-0.45455,-0.40000
0.55556,0.36646,-0.45455,-0.50000
0.50505,0.33540,-0.27273,-0.50000
0.47475,0.30435,-0.27273,-0.60000
0.44444,0.26708,-0.27273,-0.50000
0.41414,0.23602,-0.18182,-0.60000
0.39394,0.19876,0.00000,-0.60000
0.39394,0.16149,0.09091,-0.50000
0.40404,0.13043,0.27273,-0.50000
0.43434,0.09938,0.27273,-0.40000
0.46465,0.07453,0.36364,-0.30000
0.50505,0.05590,0.45455,-0.20000
0.55556,0.04348,0.54545,-0.10000
0.61616,0.03727,0.45455,0.00000
0.66667,0.03727,0.63636,0.20000
0.73737,0.04969,0.36364,0.20000
0.77778,0.06211,0.54545,0.30000
0.83838,0.08075,0.36364,0.60000
0.87879,0.11801,0.36364,0.60000
0.91919,0.15528,0.27273,0.60000
0.94949,0.19255,0.18182,0.50000
0.96970,0.22360,0.18182,0.70000
0.98990,0.26708,0.00000,0.50000
0.98990,0.29814,0.00000,0.50000
0.98990,0.32919,-0.27273,0.70000
0.95960,0.37267,-0.18182,0.60000
0.93939,0.40994,-0.45455,0.50000
0.88889,0.44099,-0.45455,0.40000
0.83838,0.46584,-0.54545,0.40000
0.77778,0.49068,-0.45455,0.40000
0.72727,0.51553,-0.72727,0.10000
0.64646,0.52174,-0.63636,0.20000
0.57576,0.53416,-0.63636,0.20000
0.50505,0.54658,-0.54545,0.10000
0.44444,0.55280,-0.63636,0.10000
0.37374,0.55901,-0.54545,0.20000
0.31313,0.57143,-0.45455,0.20000
0.26263,0.58385,-0.36364,0.30000
0.22222,0.60248,-0.27273,0.50000
0.19192,0.63354,-0.18182,0.50000
0.17172,0.66460,-0.18182,0.60000
0.15152,0.70186,0.09091,0.70000
0.16162,0.74534,0.18182,0.70000
0.18182,0.78882,0.18182,0.60000
0.20202,0.82609,0.36364,0.50000
0.24242,0.85714,0.54545,0.40000
0.30303,0.88199,0.63636,0.20000
0.37374,0.89441,0.54545,0.10000
0.43434,0.90062,0.72727,0.00000
0.51515,0.90062,0.63636,-0.10000
0.58586,0.89441,0.72727,-0.20000
0.66667,0.88199,0.63636,-0.20000
0.73737,0.86957,0.63636,-0.40000
0.80808,0.84472,0.54545,-0.40000
0.86869,0.81988,0.27273,-0.50000
0.89899,0.78882,0.36364,-0.60000
0.93939,0.75155,0.09091,-0.70000
0.94949,0.70807,0.18182,-0.70000
0.96970,0.66460,0.00000,-0.70000
0.96970,0.62112,-0.09091,-0.50000
0.95960,0.59006,-0.27273,-0.60000
0.92929,0.55280,-0.27273,-0.50000
0.89899,0.52174,-0.45455,-0.20000
0.84848,0.50932,-0.54545,-0.40000
0.78788,0.48447,-0.45455,-0.20000
0.73737,0.47205,-0.54545,-0.20000
0.67677,0.45963,-0.72727,-0.30000
0.59596,0.44099,-0.63636,-0.20000
0.52525,0.42857,-0.63636,-0.30000
0.45455,0.40994,-0.54545,-0.40000
0.39394,0.38509,-0.45455,-0.30000
0.34343,0.36646,-0.45455,-0.60000
0.29293,0.32919,-0.36364,-0.40000
0.25253,0.30435,-0.27273,-0.50000
0.22222,0.27329,-0.09091,-0.60000
0.21212,0.23602,0.00000,-0.60000
0.21212,0.19876,0.09091,-0.50000
0.22222,0.16770,0.18182,-0.50000
0.24242,0.13665,0.36364,-0.40000
0.28283,0.11180,0.36364,-0.40000
0.32323,0.08696,0.45455,-0.20000
0.37374,0.07453,0.54545,-0.20000
0.43434,0.06211,0.45455,-0.10000
0.48485,0.05590,0.63636,0.00000
0.55556,0.05590,0.54545,0.10000
0.61616,0.06211,0.54545,0.30000
0.67677,0.08075,0.45455,0.10000
0.72727,0.08696,0.54545,0.30000
0.78788,0.10559,0.54545,0.50000
0.84848,0.13665,0.45455,0.50000
0.89899,0.16770,0.36364,0.60000
0.93939,0.20497,0.27273,0.60000
0.96970,0.24224,0.09091,0.60000
0.97980,0.27950,0.18182,0.70000
1.00000,0.32298,-0.09091,0.50000
0.98990,0.35404,-0.09091,0.50000
0.97980,0.38509,-0.18182,0.40000
0.95960,0.40994,-0.36364,0.50000
0.91919,0.44099,-0.36364,0.50000
0.87879,0.47205,-0.45455,0.50000
0.82828,0.50311,-0.45455,0.30000
0.77778,0.52174,-0.54545,0.20000
0.71717,0.53416,-0.45455,0.30000
0.66667,0.55280,-0.63636,0.00000
0.59596,0.55280,-0.63636,0.10000
0.52525,0.55901,-0.54545,0.10000
0.46465,0.56522,-0.63636,0.10000
0.39394,0.57143,-0.54545,0.10000
0.33333,0.57764,-0.54545,0.30000
0.27273,0.59627,-0.45455,0.30000
0.22222,0.61491,-0.36364,0.50000
0.18182,0.64596,-0.18182,0.40000
0.16162,0.67081,0.00000,0.50000
0.16162,0.70186,0.00000,0.50000
0.16162,0.73292,0.18182,0.50000
0.18182,0.76398,0.36364,0.60000
0.22222,0.80124,0.45455,0.50000
0.27273,0.83230,0.54545,0.40000
0.33333,0.85714,0.45455,0.30000
0.38384,0.87578,0.63636,0.30000
0.45455,0.89441,0.54545,0.10000
0.51515,0.90062,0.72727,0.10000
0.59596,0.90683,0.54545,-0.10000
0.65657,0.90062,0.63636,-0.20000
0.72727,0.88820,0.54545,-0.40000
0.78788,0.86335,0.54545,-0.40000
0.84848,0.83851,0.36364,-0.40000
0.88889,0.81366,0.36364,-0.60000
0.92929,0.77640,0.09091,-0.60000
0.93939,0.73913,0.09091,-0.60000
0.94949,0.70186,-0.27273,-0.50000
0.91919,0.67081,-0.09091,-0.50000
0.90909,0.63975,-0.36364,-0.40000
0.86869,0.61491,-0.27273,-0.40000
0.83838,0.59006,-0.45455,-0.60000
0.78788,0.55280,-0.54545,-0.20000
0.72727,0.54037,-0.63636,-0.30000
0.65657,0.52174,-0.54545,-0.30000
0.59596,0.50311,-0.63636,-0.30000
0.52525,0.48447,-0.63636,-0.30000
0.45455,0.46584,-0.54545,-0.50000
0.39394,0.43478,-0.54545,-0.50000
0.33333,0.40373,-0.45455,-0.50000
0.28283,0.37267,-0.27273,-0.60000
0.25253,0.33540,-0.27273,-0.70000
0.22222,0.29193,-0.09091,-0.60000
0.21212,0.25466,0.09091,-0.70000
0.22222,0.21118,0.09091,-0.70000
0.23232,0.16770,0.18182,-0.50000
0.25253,0.13665,0.36364,-0.60000
0.29293,0.09938,0.45455,-0.50000
0.34343,0.06832,0.45455,-0.30000
0.39394,0.04969,0.63636,-0.10000
0.46465,0.04348,0.72727,-0.10000
0.54545,0.03727,0.63636,0.00000
0.61616,0.03727,0.63636,0.10000
0.68687,0.04348,0.63636,0.30000
0.75758,0.06211,0.54545,0.50000
0.81818,0.09317,0.45455,0.40000
0.86869,0.11801,0.45455,0.60000
0.91919,0.15528,0.27273,0.60000
0.94949,0.19255,0.18182,0.70000
0.96970,0.23602,0.09091,0.80000
0.97980,0.28571,-0.18182,0.60000
0.95960,0.32298,-0.18182,0.60000
0.93939,0.36025,-0.36364,0.60000
0.89899,0.39752,-0.36364,0.60000
0.85859,0.43478,-0.45455,0.30000
0.80808,0.45342,-0.54545,0.30000
0.74747,0.47205,-0.54545,0.20000
0.68687,0.48447,-0.54545,0.30000
0.62626,0.50311,-0.72727,0.30000
0.54545,0.52174,-0.63636,0.10000
0.47475,0.52795,-0.63636,0.30000
0.40404,0.54658,-0.72727,0.30000
0.32323,0.56522,-0.54545,0.40000
0.26263,0.59006,-0.54545,0.30000
0.20202,0.60870,-0.36364,0.50000
0.16162,0.63975,-0.36364,0.40000
0.12121,0.66460,-0.27273,0.50000
0.09091,0.69565,-0.18182,0.60000
0.07071,0.73292,-0.09091,0.50000
0.06061,0.76398,0.09091,0.70000
0.07071,0.80745,0.18182,0.60000
0.09091,0.84472,0.45455,0.60000
0.14141,0.88199,0.63636,0.50000
0.21212,0.91304,0.63636,0.40000
0.28283,0.93789,0.81818,0.20000
0.37374,0.95031,0.63636,0.20000
0.44444,0.96273,0.90909,-0.10000
0.54545,0.95652,0.63636,-0.10000
0.61616,0.95031,0.63636,-0.30000
0.68687,0.93168,0.63636,-0.40000
0.75758,0.90683,0.63636,-0.50000
0.82828,0.87578,0.54545,-0.70000
0.88889,0.83230,0.18182,-0.90000
0.90909,0.77640,0.18182,-0.80000
0.92929,0.72671,0.18182,-0.70000
0.94949,0.68323,-0.09091,-0.90000
0.93939,0.62733,-0.27273,-0.60000
0.90909,0.59006,-0.27273,-0.70000
0.87879,0.54658,-0.45455,-0.60000
0.82828,0.50932,-0.54545,-0.30000
0.76768,0.49068,-0.45455,-0.40000
0.71717,0.46584,-0.72727,-0.30000
0.63636,0.44720,-0.45455,-0.40000
0.58586,0.42236,-0.54545,-0.40000
0.52525,0.39752,-0.63636,-0.50000
0.45455,0.36646,-0.36364,-0.50000
0.41414,0.33540,-0.36364,-0.70000
0.37374,0.29193,-0.27273,-0.60000
0.34343,0.25466,-0.27273,-0.70000
0.31313,0.21118,0.09091,-0.70000
0.32323,0.16770,0.00000,-0.60000
0.32323,0.13043,0.09091,-0.60000
0.33333,0.09317,0.36364,-0.60000
0.37374,0.05590,0.45455,-0.50000
0.42424,0.02484,0.36364,-0.20000
0.46465,0.01242,0.63636,-0.20000
0.53535,0.00000,0.72727,0.00000
0.61616,0.00000,0.54545,0.10000
0.67677,0.00621,0.63636,0.30000
0.74747,0.02484,0.54545,0.50000
0.80808,0.05590,0.54545,0.50000
0.86869,0.08696,0.45455,0.70000
0.91919,0.13043,0.27273,0.70000
0.94949,0.17391,0.27273,0.70000
0.97980,0.21739,0.09091,0.80000
0.98990,0.26708,-0.18182,0.60000
0.96970,0.30435,-0.18182,0.70000
0.94949,0.34783,-0.27273,0.50000
0.91919,0.37888,-0.45455,0.50000
0.86869,0.40994,-0.54545,0.30000
0.80808,0.42857,-0.45455,0.50000
0.75758,0.45963,-0.63636,0.40000
0.68687,0.48447,-0.54545,0.30000
0.62626,0.50311,-0.63636,0.30000
0.55556,0.52174,-0.72727,0.30000
0.47475,0.54037,-0.63636,0.30000
0.40404,0.55901,-0.81818,0.30000
0.31313,0.57764,-0.72727,0.40000
0.23232,0.60248,-0.63636,0.50000
0.16162,0.63354,-0.54545,0.50000
0.10101,0.66460,-0.45455,0.60000
0.05051,0.70186,-0.36364,0.60000
0.01010,0.73913,-0.09091,0.70000
0.00000,0.78261,0.09091,0.60000
0.01010,0.81988,0.18182,0.70000
0.03030,0.86335,0.45455,0.70000
0.08081,0.90683,0.45455,0.50000
0.13131,0.93789,0.63636,0.50000
0.20202,0.96894,0.72727,0.40000
0.28283,0.99379,0.72727,0.10000
0.36364,1.00000,0.72727,0.00000
0.44444,1.00000,1.00000,-0.10000
0.55556,0.99379,0.72727,-0.30000
0.63636,0.97516,0.72727,-0.50000
0.71717,0.94410,0.72727,-0.70000
0.79798,0.90062,0.45455,-0.90000
0.84848,0.84472,0.36364,-1.00000
0.88889,0.78261,0.27273,-0.90000
0.91919,0.72671,-0.09091,-0.90000
0.90909,0.67081,-0.27273,-0.70000
0.87879,0.62733,-0.18182,-0.60000
0.85859,0.59006,-0.36364,-0.40000
0.81818,0.56522,-0.54545,-0.20000
0.75758,0.55280,-0.54545,-0.40000
0.69697,0.52795,-0.63636,-0.30000
0.62626,0.50932,-0.54545,-0.20000
0.56566,0.49689,-0.81818,-0.30000
0.47475,0.47826,-0.54545,-0.50000
0.41414,0.44720,-0.36364,-0.60000
0.37374,0.40994,-0.45455,-0.40000
0.32323,0.38509,-0.27273,-0.60000
0.29293,0.34783,-0.27273,-0.70000
0.26263,0.30435,-0.18182,-0.60000
0.24242,0.26708,0.09091,-0.80000
0.25253,0.21739,0.00000,-0.70000
0.25253,0.17391,0.27273,-0.60000
0.28283,0.13665,0.45455,-0.50000
0.33333,0.10559,0.36364,-0.50000
0.37374,0.07453,0.63636,-0.40000
0.44444,0.04969,0.45455,-0.20000
0.49495,0.03727,0.72727,0.00000
0.57576,0.03727,0.63636,0.00000
0.64646,0.03727,0.63636,0.30000
0.71717,0.05590,0.54545,0.30000
0.77778,0.07453,0.63636,0.60000
0.84848,0.11180,0.36364,0.50000
0.88889,0.14286,0.36364,0.70000
0.92929,0.18634,0.18182,0.80000
0.94949,0.23602,0.09091,0.90000
0.95960,0.29193,-0.09091,0.60000
0.94949,0.32919,-0.09091,0.80000
0.93939,0.37888,-0.45455,0.60000
0.88889,0.41615,-0.45455,0.50000
0.83838,0.44720,-0.45455,0.50000
0.78788,0.47826,-0.45455,0.30000
0.73737,0.49689,-0.72727,0.20000
0.65657,0.50932,-0.54545,0.30000
0.59596,0.52795,-0.72727,0.30000
0.51515,0.54658,-0.72727,0.30000
0.43434,0.56522,-0.63636,0.20000
0.36364,0.57764,-0.63636,0.20000
0.29293,0.59006,-0.63636,0.20000
0.22222,0.60248,-0.63636,0.40000
0.15152,0.62733,-0.54545,0.40000
0.09091,0.65217,-0.36364,0.60000
0.05051,0.68944,-0.18182,0.70000
0.03030,0.73292,-0.09091,0.70000
0.02020,0.77640,0.09091,0.70000
0.03030,0.81988,0.63636,0.80000
0.10101,0.86957,0.36364,0.30000
0.14141,0.88820,0.72727,0.50000
0.22222,0.91925,0.81818,0.30000
0.31313,0.93789,0.81818,0.00000
0.40404,0.93789,0.81818,0.10000
0.49495,0.94410,0.72727,-0.20000
0.57576,0.93168,0.63636,-0.40000
0.64646,0.90683,0.63636,-0.40000
0.71717,0.88199,0.45455,-0.50000
0.76768,0.85093,0.00000,0.00000
