# X, Y, VelX, VelY |[105.;186.;  0.;  0.][439.; 25.;413.; 15.]
0.94533,1.00000,0.00000,0.00000
0.94533,1.00000,-0.00484,0.00000
0.94077,1.00000,-0.00726,0.00000
0.93394,1.00000,-0.01453,-0.13333
0.92027,0.92000,-0.01937,-0.13333
0.90205,0.84000,-0.01937,-0.20000
0.88383,0.72000,-0.02058,-0.03333
0.86446,0.70000,-0.02421,-0.13333
0.84169,0.62000,-0.03269,-0.16667
0.81093,0.52000,-0.02906,-0.06667
0.78360,0.48000,-0.03148,-0.06667
0.75399,0.44000,-0.03632,0.00000
0.71982,0.44000,-0.03632,-0.06667
0.68565,0.40000,-0.03874,-0.06667
0.64920,0.36000,-0.03874,-0.06667
0.61276,0.32000,-0.03874,0.00000
0.57631,0.32000,-0.03632,0.00000
0.54214,0.32000,-0.03632,0.06667
0.50797,0.36000,-0.03632,0.00000
0.47380,0.36000,-0.03390,0.06667
0.44191,0.40000,-0.03390,0.00000
0.41002,0.40000,-0.03390,0.00000
0.37813,0.40000,-0.03148,0.00000
0.34852,0.40000,-0.03148,0.00000
0.31891,0.40000,-0.02906,0.06667
0.29157,0.44000,-0.02906,-0.06667
0.26424,0.40000,-0.02663,0.00000
0.23918,0.40000,-0.02300,-0.06667
0.21754,0.36000,-0.02542,0.00000
0.19362,0.36000,-0.02421,-0.06667
0.17084,0.32000,-0.01695,0.00000
0.15490,0.32000,-0.01937,0.00000
0.13667,0.32000,-0.01695,0.06667
0.12073,0.36000,-0.01453,0.00000
0.10706,0.36000,-0.01453,0.13333
0.09339,0.44000,-0.01453,0.06667
0.07973,0.48000,-0.01211,0.06667
0.06834,0.52000,-0.00726,0.13333
0.06150,0.60000,-0.00726,0.06667
0.05467,0.64000,-0.00242,0.06667
0.05239,0.68000,0.00000,0.00000
0.05239,0.68000,0.96852,0.33333
0.96355,0.88000,-0.00484,0.00000
0.95900,0.88000,-0.00484,0.06667
0.95444,0.92000,-0.00969,0.00000
0.94533,0.92000,-0.01453,-0.06667
0.93166,0.88000,-0.01695,-0.06667
0.91572,0.84000,-0.02179,-0.06667
0.89522,0.80000,-0.02179,-0.13333
0.87472,0.72000,-0.02663,-0.13333
0.84966,0.64000,-0.02663,-0.13333
0.82460,0.56000,-0.02906,-0.06667
0.79727,0.52000,-0.03148,-0.06667
0.76765,0.48000,-0.03148,-0.13333
0.73804,0.40000,-0.03148,0.00000
0.70843,0.40000,-0.03148,-0.06667
0.67882,0.36000,-0.03390,0.00000
0.64692,0.36000,-0.03148,0.00000
0.61731,0.36000,-0.03390,0.00000
0.58542,0.36000,-0.03390,0.00000
0.55353,0.36000,-0.03148,0.00000
0.52392,0.36000,-0.03148,0.00000
0.49431,0.36000,-0.03390,0.00000
0.46241,0.36000,-0.03390,0.00000
0.43052,0.36000,-0.03390,0.00000
0.39863,0.36000,-0.03148,0.06667
0.36902,0.40000,-0.03390,0.00000
0.33713,0.40000,-0.03148,0.00000
0.30752,0.40000,-0.03148,-0.06667
0.27790,0.36000,-0.03148,-0.06667
0.24829,0.32000,-0.02663,-0.06667
0.22323,0.28000,-0.02421,-0.06667
0.20046,0.24000,-0.02421,-0.06667
0.17768,0.20000,-0.02179,-0.06667
0.15718,0.16000,-0.01937,0.00000
0.13895,0.16000,-0.01937,0.00000
0.12073,0.16000,-0.02179,0.00000
0.10023,0.16000,-0.01937,0.06667
0.08200,0.20000,-0.01937,0.06667
0.06378,0.24000,-0.01937,0.06667
0.04556,0.28000,-0.01211,0.06667
0.03417,0.32000,-0.01211,0.06667
0.02278,0.36000,-0.00969,0.06667
0.01367,0.40000,-0.00726,0.13333
0.00683,0.48000,0.00000,0.00000
0.00683,0.48000,0.99758,0.60000
0.94533,0.84000,-0.00726,-0.06667
0.93850,0.80000,-0.00726,-0.06667
0.93166,0.76000,-0.01453,-0.06667
0.91800,0.72000,-0.01695,-0.06667
0.90205,0.68000,-0.01695,-0.06667
0.88610,0.64000,-0.02179,0.00000
0.86560,0.64000,-0.02663,-0.06667
0.84055,0.60000,-0.02663,-0.06667
0.81549,0.56000,-0.02906,0.00000
0.78815,0.56000,-0.02906,-0.06667
0.76082,0.52000,-0.02906,-0.06667
0.73349,0.48000,-0.03148,-0.06667
0.70387,0.44000,-0.03148,-0.06667
0.67426,0.40000,-0.03148,-0.06667
0.64465,0.36000,-0.03148,-0.06667
0.61503,0.32000,-0.03390,-0.06667
0.58314,0.28000,-0.03148,-0.06667
0.55353,0.24000,-0.03390,0.00000
0.52164,0.24000,-0.03148,-0.06667
0.49203,0.20000,-0.03148,-0.06667
0.46241,0.16000,-0.03148,0.00000
0.43280,0.16000,-0.03148,-0.06667
0.40319,0.12000,-0.02906,0.00000
0.37585,0.12000,-0.02906,0.00000
0.34852,0.12000,-0.02663,0.06667
0.32346,0.16000,-0.03148,0.06667
0.29385,0.20000,-0.03148,0.00000
0.26424,0.20000,-0.03148,-0.06667
0.23462,0.16000,-0.02663,0.06667
0.20957,0.20000,-0.02663,0.00000
0.18451,0.20000,-0.02421,0.00000
0.16173,0.20000,-0.01937,0.13333
0.14351,0.28000,-0.01937,0.06667
0.12528,0.32000,-0.01937,0.13333
0.10706,0.40000,-0.01937,0.06667
0.08884,0.44000,-0.01937,0.06667
0.07062,0.48000,-0.01695,0.00000
0.05467,0.48000,-0.01453,0.00000
0.04100,0.48000,-0.01695,0.00000
0.02506,0.48000,-0.01453,0.00000
0.01139,0.48000,-0.00969,0.00000
0.00228,0.48000,0.98305,0.20000
0.92711,0.60000,-0.00484,0.00000
0.92255,0.60000,-0.00969,0.00000
0.91344,0.60000,-0.01453,0.06667
0.89977,0.64000,-0.01937,0.00000
0.88155,0.64000,-0.02421,-0.06667
0.85877,0.60000,-0.02421,0.00000
0.83599,0.60000,-0.02663,0.00000
0.81093,0.60000,-0.02906,-0.06667
0.78360,0.56000,-0.02906,0.00000
0.75626,0.56000,-0.03390,-0.06667
0.72437,0.52000,-0.03148,-0.06667
0.69476,0.48000,-0.03632,0.00000
0.66059,0.48000,-0.03390,-0.06667
0.62870,0.44000,-0.03632,-0.13333
0.59453,0.36000,-0.03632,-0.06667
0.56036,0.32000,-0.03632,-0.13333
0.52620,0.24000,-0.03390,-0.06667
0.49431,0.20000,-0.03390,-0.13333
0.46241,0.12000,-0.03148,-0.06667
0.43280,0.08000,-0.03148,-0.06667
0.40319,0.04000,-0.02906,0.00000
0.37585,0.04000,-0.02906,-0.06667
0.34852,0.00000,-0.02663,0.00000
0.32346,0.00000,-0.02663,0.00000
0.29841,0.00000,-0.02663,0.00000
0.27335,0.00000,-0.02421,0.06667
0.25057,0.04000,-0.02179,0.00000
0.23007,0.04000,-0.02179,0.00000
0.20957,0.04000,-0.01937,0.06667
0.19134,0.08000,-0.01695,0.06667
0.17540,0.12000,-0.01695,0.06667
0.15945,0.16000,-0.01453,0.06667
0.14579,0.20000,-0.01695,0.06667
0.12984,0.24000,-0.01937,0.06667
0.11162,0.28000,-0.01695,0.06667
0.09567,0.32000,-0.01695,0.13333
0.07973,0.40000,-0.01453,0.06667
0.06606,0.44000,-0.00969,0.06667
0.05695,0.48000,-0.00726,0.00000
0.05011,0.48000,-0.00242,0.00000
0.04784,0.48000,0.93462,-0.06667
0.92711,0.44000,0.00000,0.06667
0.92711,0.48000,0.00000,0.00000
0.92711,0.48000,-0.00484,0.00000
0.92255,0.48000,-0.00726,0.06667
0.91572,0.52000,-0.00969,0.00000
0.90661,0.52000,-0.01453,0.00000
0.89294,0.52000,-0.01937,0.06667
0.87472,0.56000,-0.01937,-0.06667
0.85649,0.52000,-0.02421,-0.06667
0.83371,0.48000,-0.02179,0.00000
0.81321,0.48000,-0.02663,0.00000
0.78815,0.48000,-0.02663,0.00000
0.76310,0.48000,-0.02906,-0.06667
0.73576,0.44000,-0.02906,-0.06667
0.70843,0.40000,-0.02906,0.00000
0.68109,0.40000,-0.02906,-0.06667
0.65376,0.36000,-0.02906,-0.06667
0.62642,0.32000,-0.02663,0.00000
0.60137,0.32000,-0.02663,-0.06667
0.57631,0.28000,-0.02906,-0.06667
0.54897,0.24000,-0.02663,0.00000
0.52392,0.24000,-0.02663,0.00000
0.49886,0.24000,-0.02663,-0.06667
0.47380,0.20000,-0.02906,0.00000
0.44647,0.20000,-0.02421,0.00000
0.42369,0.20000,-0.02421,0.00000
0.40091,0.20000,-0.02421,0.00000
0.37813,0.20000,-0.02663,0.06667
0.35308,0.24000,-0.02421,0.00000
0.33030,0.24000,-0.02179,0.00000
0.30979,0.24000,-0.02663,-0.06667
0.28474,0.20000,-0.02179,0.00000
0.26424,0.20000,-0.02179,0.00000
0.24374,0.20000,-0.02421,0.00000
0.22096,0.20000,-0.01937,-0.06667
0.20273,0.16000,-0.02179,0.00000
0.18223,0.16000,-0.02179,0.00000
0.16173,0.16000,-0.01937,0.00000
0.14351,0.16000,-0.01937,0.00000
0.12528,0.16000,-0.01937,0.06667
0.10706,0.20000,-0.01695,0.00000
0.09112,0.20000,-0.01695,0.06667
0.07517,0.24000,-0.01453,0.00000
0.06150,0.24000,-0.01211,0.00000
0.05011,0.24000,-0.01211,0.00000
0.03872,0.24000,-0.01211,0.00000
0.02733,0.24000,-0.00969,0.00000
0.01822,0.24000,0.91768,0.73333
0.88155,0.68000,-0.00726,0.00000
0.87472,0.68000,-0.01211,0.00000
0.86333,0.68000,-0.01695,-0.06667
0.84738,0.64000,-0.01937,0.00000
0.82916,0.64000,-0.02421,-0.06667
0.80638,0.60000,-0.02421,-0.06667
0.78360,0.56000,-0.02906,-0.06667
0.75626,0.52000,-0.02906,-0.06667
0.72893,0.48000,-0.03148,-0.06667
0.69932,0.44000,-0.03148,-0.06667
0.66970,0.40000,-0.03148,0.00000
0.64009,0.40000,-0.03148,-0.06667
0.61048,0.36000,-0.03148,-0.06667
0.58087,0.32000,-0.03148,0.00000
0.55125,0.32000,-0.03148,-0.06667
0.52164,0.28000,-0.03148,0.00000
0.49203,0.28000,-0.03148,-0.06667
0.46241,0.24000,-0.03148,-0.06667
0.43280,0.20000,-0.03148,-0.06667
0.40319,0.16000,-0.02906,0.00000
0.37585,0.16000,-0.02663,0.00000
0.35080,0.16000,-0.02663,-0.06667
0.32574,0.12000,-0.02663,0.00000
0.30068,0.12000,-0.02663,0.00000
0.27563,0.12000,-0.02421,0.00000
0.25285,0.12000,-0.02421,0.00000
0.23007,0.12000,-0.02179,0.00000
0.20957,0.12000,-0.01937,0.06667
0.19134,0.16000,-0.02179,0.06667
0.17084,0.20000,-0.01937,0.06667
0.15262,0.24000,-0.01937,0.00000
0.13440,0.24000,-0.01937,0.06667
0.11617,0.28000,-0.01937,0.00000
0.09795,0.28000,-0.01453,0.06667
0.08428,0.32000,-0.01453,0.06667
0.07062,0.36000,-0.01211,0.00000
0.05923,0.36000,-0.00484,0.00000
0.05467,0.36000,0.98305,0.66667
0.97950,0.76000,0.00000,0.06667
0.97950,0.80000,-0.00484,0.00000
0.97494,0.80000,-0.01211,-0.06667
0.96355,0.76000,-0.01695,-0.13333
0.94761,0.68000,-0.02179,-0.06667
0.92711,0.64000,-0.02421,-0.06667
0.90433,0.60000,-0.02663,-0.06667
0.87927,0.56000,-0.02906,-0.06667
0.85194,0.52000,-0.02906,-0.06667
0.82460,0.48000,-0.03148,-0.06667
0.79499,0.44000,-0.03390,0.00000
0.76310,0.44000,-0.03148,-0.13333
0.73349,0.36000,-0.03390,0.00000
0.70159,0.36000,-0.03390,-0.06667
0.66970,0.32000,-0.03148,-0.06667
0.64009,0.28000,-0.03148,0.00000
0.61048,0.28000,-0.02906,-0.06667
0.58314,0.24000,-0.03148,0.00000
0.55353,0.24000,-0.02906,0.00000
0.52620,0.24000,-0.02906,0.00000
0.49886,0.24000,-0.02663,0.00000
0.47380,0.24000,-0.02663,0.00000
0.44875,0.24000,-0.02906,0.06667
0.42141,0.28000,-0.02663,0.00000
0.39636,0.28000,-0.02663,0.00000
0.37130,0.28000,-0.02421,0.06667
0.34852,0.32000,-0.02421,0.06667
0.32574,0.36000,-0.02421,0.06667
0.30296,0.40000,-0.02179,0.06667
0.28246,0.44000,-0.02421,0.00000
0.25968,0.44000,-0.01937,0.00000
0.24146,0.44000,-0.02179,0.06667
0.22096,0.48000,-0.02179,0.00000
0.20046,0.48000,-0.01937,0.00000
0.18223,0.48000,-0.01937,-0.06667
0.16401,0.44000,-0.01937,0.00000
0.14579,0.44000,-0.02179,0.06667
0.12528,0.48000,-0.01453,0.06667
0.11162,0.52000,-0.01937,0.00000
0.09339,0.52000,-0.01453,0.06667
0.07973,0.56000,-0.01695,0.06667
0.06378,0.60000,-0.01937,0.13333
0.04556,0.68000,-0.01211,0.06667
0.03417,0.72000,-0.01211,0.00000
0.02278,0.72000,-0.00484,0.00000
0.01822,0.72000,-0.00484,-0.06667
0.01367,0.68000,0.96852,0.40000
0.92483,0.92000,-0.00242,0.00000
0.92255,0.92000,-0.00969,0.00000
0.91344,0.92000,-0.00969,-0.06667
0.90433,0.88000,-0.01695,-0.06667
0.88838,0.84000,-0.02179,-0.13333
0.86788,0.76000,-0.02179,-0.06667
0.84738,0.72000,-0.02663,-0.13333
0.82232,0.64000,-0.02663,-0.06667
0.79727,0.60000,-0.02906,-0.06667
0.76993,0.56000,-0.02906,0.00000
0.74260,0.56000,-0.02906,0.00000
0.71526,0.56000,-0.02906,-0.06667
0.68793,0.52000,-0.02906,0.00000
0.66059,0.52000,-0.03148,0.00000
0.63098,0.52000,-0.02906,0.00000
0.60364,0.52000,-0.03148,-0.06667
0.57403,0.48000,-0.03148,0.00000
0.54442,0.48000,-0.02906,-0.06667
0.51708,0.44000,-0.02906,0.00000
0.48975,0.44000,-0.03148,0.00000
0.46014,0.44000,-0.02663,0.00000
0.43508,0.44000,-0.02906,0.00000
0.40774,0.44000,-0.02906,0.00000
0.38041,0.44000,-0.02663,0.00000
0.35535,0.44000,-0.02421,0.00000
0.33257,0.44000,-0.02663,0.00000
0.30752,0.44000,-0.02421,-0.06667
0.28474,0.40000,-0.02421,0.06667
0.26196,0.44000,-0.02421,0.00000
0.23918,0.44000,-0.02663,0.00000
0.21412,0.44000,-0.02179,-0.06667
0.19362,0.40000,-0.02179,0.06667
0.17312,0.44000,-0.02179,0.00000
0.15262,0.44000,-0.01695,0.00000
0.13667,0.44000,-0.01937,0.06667
0.11845,0.48000,-0.01695,0.00000
0.10251,0.48000,-0.01937,0.06667
0.08428,0.52000,-0.01695,0.06667
0.06834,0.56000,-0.01937,0.06667
0.05011,0.60000,-0.01211,0.00000
0.03872,0.60000,-0.00484,0.00000
0.03417,0.60000,0.00000,0.00000
0.03417,0.60000,0.00726,-0.13333
0.04100,0.52000,0.00726,-0.06667
0.04784,0.48000,0.00969,-0.20000
0.05695,0.36000,0.99758,1.00000
0.99544,0.96000,0.00484,0.06667
1.00000,1.00000,-0.00242,0.00000
0.99772,1.00000,-0.00726,0.00000
0.99089,1.00000,-0.00969,0.00000
0.98178,1.00000,-0.01937,-0.06667
0.96355,0.96000,-0.02179,-0.06667
0.94305,0.92000,-0.02663,-0.13333
0.91800,0.84000,-0.02906,-0.13333
0.89066,0.76000,-0.02906,-0.13333
0.86333,0.68000,-0.02906,-0.06667
0.83599,0.64000,-0.03148,-0.06667
0.80638,0.60000,-0.03632,-0.06667
0.77221,0.56000,-0.03148,-0.06667
0.74260,0.52000,-0.03632,-0.06667
0.70843,0.48000,-0.03632,-0.06667
0.67426,0.44000,-0.03874,0.00000
0.63781,0.44000,-0.03874,-0.06667
0.60137,0.40000,-0.03874,0.00000
0.56492,0.40000,-0.03390,0.00000
0.53303,0.40000,-0.03632,0.00000
0.49886,0.40000,-0.03632,0.06667
0.46469,0.44000,-0.03390,0.00000
0.43280,0.44000,-0.03148,0.06667
0.40319,0.48000,-0.03390,0.06667
0.37130,0.52000,-0.03148,0.00000
0.34169,0.52000,-0.02906,0.00000
0.31435,0.52000,-0.02906,0.06667
0.28702,0.56000,-0.02906,0.00000
0.25968,0.56000,-0.02421,0.00000
0.23690,0.56000,-0.02179,0.00000
0.21640,0.56000,-0.02421,0.00000
0.19362,0.56000,-0.02421,0.06667
0.17084,0.60000,-0.02179,0.00000
0.15034,0.60000,-0.02421,0.06667
0.12756,0.64000,-0.02421,0.00000
0.10478,0.64000,-0.02179,0.06667
0.08428,0.68000,-0.02179,0.00000
0.06378,0.68000,-0.01695,0.00000
0.04784,0.68000,-0.01453,0.00000
0.03417,0.68000,-0.01453,0.00000
0.02050,0.68000,-0.01211,0.00000
0.00911,0.68000,-0.00726,0.00000
0.00228,0.68000,-0.00242,-0.06667
0.00000,0.64000,1.00000,0.06667
0.94077,0.68000,-0.00242,-0.06667
0.93850,0.64000,-0.00726,0.00000
0.93166,0.64000,-0.00969,-0.06667
0.92255,0.60000,-0.01453,0.00000
0.90888,0.60000,-0.01937,0.00000
0.89066,0.60000,-0.02421,-0.06667
0.86788,0.56000,-0.02421,0.00000
0.84510,0.56000,-0.02906,0.00000
0.81777,0.56000,-0.02906,0.00000
0.79043,0.56000,-0.02906,0.00000
0.76310,0.56000,-0.03148,0.00000
0.73349,0.56000,-0.03148,0.00000
0.70387,0.56000,-0.03148,0.00000
0.67426,0.56000,-0.03390,0.00000
0.64237,0.56000,-0.03390,0.00000
0.61048,0.56000,-0.03148,0.00000
0.58087,0.56000,-0.03148,0.06667
0.55125,0.60000,-0.03390,0.00000
0.51936,0.60000,-0.03148,0.06667
0.48975,0.64000,-0.03148,0.00000
0.46014,0.64000,-0.03390,0.06667
0.42825,0.68000,-0.03390,0.00000
0.39636,0.68000,-0.03390,0.00000
0.36446,0.68000,-0.03148,-0.06667
0.33485,0.64000,-0.03390,-0.06667
0.30296,0.60000,-0.03148,0.00000
0.27335,0.60000,-0.03148,-0.06667
0.24374,0.56000,-0.03148,-0.06667
0.21412,0.52000,-0.03148,-0.06667
0.18451,0.48000,-0.02421,-0.06667
0.16173,0.44000,-0.02663,0.00000
0.13667,0.44000,-0.02421,0.00000
0.11390,0.44000,-0.02179,-0.06667
0.09339,0.40000,-0.02179,0.00000
0.07289,0.40000,-0.02179,0.06667
0.05239,0.44000,-0.01453,0.00000
0.03872,0.44000,-0.01211,0.00000
0.02733,0.44000,-0.00484,0.00000
0.02278,0.44000,0.00242,-0.06667
0.02506,0.40000,0.00000,0.00000
